type;name;gnd-id;gnd-url;bemerkungen;gnd-name;lobid-search-url;j-special;j-geburt;j-tod
persName;Louis Köhler;116285036;http://d-nb.info/gnd/116285036;;Köhler, Louis;http://lobid.org/gnd/search?q=Louis+Köhler;;1820;1886
persName;Gustav Kolb;116310790;http://d-nb.info/gnd/116310790;;Kolb, Gustav;http://lobid.org/gnd/search?q=Gustav+Kolb;;1798;1865
persName;August von Kreling;116518723;;;Kreling, August von;http://lobid.org/gnd/search?q=August+von+Kreling;;1819;1876
persName;Ernst Kreowski;116522321;http://d-nb.info/gnd/116522321;;Kreowski, Ernst;http://lobid.org/gnd/search?q=Ernst+Kreowski;;1859;1921
persName;Adolf Kröner;116548584;;;Kröner, Adolf;;;1836;1911
persName;Karl Krumbacher;118778102;http://d-nb.info/gnd/118778102;;Krumbacher, Karl;http://lobid.org/gnd/search?q=Karl+Krumbacher;;1856;1909
persName;Joseph Kürschner;118567780;http://d-nb.info/gnd/118567780;;Kürschner, Joseph;http://lobid.org/gnd/search?q=Joseph+Kürschner;;1853;1902
persName;Francesco Labruzzi;116638435;http://d-nb.info/gnd/116638435;;Labruzzi, Francesco;http://lobid.org/gnd/search?q=Francesco+Labruzzi;;;
persName;Spyridon Lambros;116669276;;;Lambos, Spyridon;;;1851;1919
persName;Johann Evangelist Lamprecht;124706061;;;Lamprecht, Johann Evonagelist;;;1816;1895
persName;Wilhelm Lang;11669470X;;;Lang, Wilhelm;http://lobid.org/gnd/search?q=Wilhelm+Lang;;1832;1915
persName;Heinrich Laube;118570080;http://d-nb.info/gnd/118570080;;Laube, Heinrich;http://lobid.org/gnd/search?q=Heinrich+Laube;;1806;1884
persName;Georg von Laubmann;102183201;http://d-nb.info/gnd/102183201;;Laubmann, Georg von;http://lobid.org/gnd/search?q=Georg+von+Laubmann;;1843;1909
persName;Karl Lehrs;116876573;http://d-nb.info/gnd/116876573;;Lehrs, Karl;http://lobid.org/gnd/search?q=Karl+Lehrs;;1802;1878
persName;Franz Lenbach;118571516;;;Lenbach, Franz;;;1836;1904
persName;Emilio Leone;;;;Leone, Emilio;http://lobid.org/gnd/search?q=Emilio+Leone;;;
persName;Quirino Leoni;159127971;;;Leoni, Quirino;;;1828;1897
