type;name;gnd-id;gnd-url;bemerkungen;gnd-name;lobid-search-url;j-special;j-geburt;j-tod
persName;Clara von Urlaub;117315133;http://d-nb.info/gnd/117315133;;Urlaub, Clara von;http://lobid.org/gnd/search?q=Clara+von+Urlaub;;1860;1925
persName;Georg von Urlaub;117315125;http://d-nb.info/gnd/117315125;;Urlaub, Georg von;http://lobid.org/gnd/search?q=Georg+von+Urlaub;;1844;1914
persName;Pietro Venturi;129356387;http://d-nb.info/gnd/129356387;;Venturi, Pietro;http://lobid.org/gnd/search?q=Pietro+Venturi;;1824;1892
orgName;Verlag Giuseppe Antonelli;;;;Tipografia Giuseppe Antonelli;;;;
persName;Salvatore Viale;117396850;http://d-nb.info/gnd/117396850;;Viale, Salvatore;http://lobid.org/gnd/search?q=Salvatore+Viale;;1787;1861
persName;Lionardo Vigo;117417661;http://d-nb.info/gnd/117417661;;Vigo, Lionardo;http://lobid.org/gnd/search?q=Lionardo+Vigo;;1799;1879
persName;Francesco Piccoli;116177381;;;Piccoli, Francesco;;;1835;1883
persName;Victoria Königin von Preußen;118626868;;;Victoria Königin von Preußen;http://lobid.org/gnd/search?q=Victoria+Königin+von+Preußen;;1840;1901
persName;Emanuele Pes di Villamarina;1027082963;;;Pes di Villamarina, Emanuele;;;1834;1891
persName;Pasquale Villari;118804596;http://d-nb.info/gnd/118804596;;Villari, Pasquale;http://lobid.org/gnd/search?q=Pasquale+Villari;;1827;1917
persName;Rudolf Virchow;118627198;http://d-nb.info/gnd/118627198;;Virchow, Rudolf;http://lobid.org/gnd/search?q=Rudolf+Virchow;;1821;1902
persName;Friedrich Theodor von Vischer;11862721X;;;Vischer, Friedrich Theodor von;http://lobid.org/gnd/search?q=Friedrich+Theodor+von+Vischer;;1807;1887
persName;Giovanni Visone;;;;Visone, Giovanni;;;1814;1893
persName;Maria von Völk;11744913X;http://d-nb.info/gnd/11744913X;;Völk, Maria von;http://lobid.org/gnd/search?q=Maria+von+Völk;;1841;1912
persName;Wilhelm von Völk;117449148;http://d-nb.info/gnd/117449148;;Völk, Wilhelm von;http://lobid.org/gnd/search?q=Wilhelm+von+Völk;;1819;1883
persName;Luise Gräfin von Voß;1148667253;;;Voß, Luise Gräfin von;;;1820;1902
persName;Richard Voß;117450944;;;Voß, Richard;;;1851;1918
persName;Friederike von Pfisterer;;;;Pfisterer, Friederike von;http://lobid.org/gnd/search?q=Friederike+von+Pfisterer;;1840;1925
persName;Viktoria Prinzessin von Preußen;118626868;;;Viktoria Prinzessin von Preußen;;;1840;1901
persName;Viktoria, deutsche Kaiserin und Königin von Preußen;118626868;;;Viktoria, deutsche Kaiserin und Königin von Preußen;;;1840;1901
persName;Moritz Wagner;117103527;;;Wagner, Moritz;;;1813;1887
persName;Marie Gräfin von Waldenburg;;;;Waldenburg, Marie Gräfin von;;;1843;1894
persName;Ludwig Walesrode;116653396;http://d-nb.info/gnd/116653396;;Walesrode, Ludwig;http://lobid.org/gnd/search?q=Ludwig+Walesrode;;1810;1889
persName;Johann Matthias Watterich;117151599;;;Watterich, Johann Matthias;http://lobid.org/gnd/search?q=Johann+Matthias+Watterich;;1826;1904
persName;Wilhelm Wattenbach;117151386;;;Wattenbach, Wilhelm;;;1819;1897
orgName;Weidmannsche Buchhandlung;814693-7;;;Weidmannsche Buchhandlung;http://lobid.org/gnd/search?q=Weidmannsche+Buchhandlung;;;
persName;August Weiss;;;;Weiss, August;;;1818;1903
persName;Karl Freiherr von Werther;117307017;;;Werther, Karl Freiherr von;http://lobid.org/gnd/search?q=Karl+Freiherr+von+Werther;;1809;1894
persName;Georg Graf von Werthern-Beichlingen;117307610;http://d-nb.info/gnd/117307610;;Werthern-Beichlingen, Georg Graf von;http://lobid.org/gnd/search?q=Georg+Graf+von+Werthern-Beichlingen;;1816;1895
persName;Elisabeth Freifrau von Werthern-Beichlingen;;;;Werthern-Beichlingen, Elisabeth Freifrau von;;;1866;1941
persName;Gertrud Gräfin von Werthern-Beichlingen;132484803;http://d-nb.info/gnd/132484803;;Werthern-Beichlingen, Gertrud Gräfin von;http://lobid.org/gnd/search?q=Gertrud+Gräfin+von+Werthern-Beichlingen;;1841;1919
persName;Wilhelm, Prinz von Baden;117617628;http://d-nb.info/gnd/117617628;;Wilhelm Prinz von Baden;http://lobid.org/gnd/search?q=Wilhelm,+Prinz+von+Baden;;1829;1897
persName;Georg Winkler;1175997943;;;Winkler, Georg;;;;
persName;Max Wirth;117412252;http://d-nb.info/gnd/117412252;;Wirth, Max;http://lobid.org/gnd/search?q=Max+Wirth;;1822;1900
persName;Albert Freiherr von Wirsing;117411884;;;Wirsing, Albert Freiherr von ;;;1810;1872
persName;Leopold Witte;117420662;;;Witte, Leopold;http://lobid.org/gnd/search?q=Leopold+Witte;;1836;1921
persName;Emma Freifrau von Wöhrmann;;;;Wöhrmann, Emma Freifrau von;;;1839;1881
persName;Anton Graf von Wolkenstein-Trostburg;117616591;;;Wolkenstein-Trostburg, Anton Graf von;;;1823;1913
persName;Wladimir Alexandrowitsch Fürst Tscherkasski;142170860;;;Wladimir Alexandrowitsch Fürst Tscherkasski;http://lobid.org/gnd/search?q=Wladimir+Alexandrowitsch+Fürst+Tscherkasski;;1824;1878
persName;Carl Wuttke;117347477;http://d-nb.info/gnd/117347477;;Wuttke, Carl;http://lobid.org/gnd/search?q=Carl+Wuttke;;1849;1927
persName;Filippo Zamboni;116950455;http://d-nb.info/gnd/116950455;;Zamboni, Filippo;http://lobid.org/gnd/search?q=Filippo+Zamboni;;1826;1910
persName;Margarete Zander;;;;Zander, Margarete;http://lobid.org/gnd/search?q=Margarete+Zander;;;1937
persName;Ferdinando Zanchi;;;;Zanchi, Ferdinando;;;;
persName;Friedrich Zarncke;11913702X;http://d-nb.info/gnd/11913702X;;Zarncke, Friedrich;http://lobid.org/gnd/search?q=Friedrich+Zarncke;;1825;1891
persName;Hans von Zwiedineck-Südenhorst;116002409;;;Zwiedineck-Südenhorst, Hans von;http://lobid.org/gnd/search?q=Hans+von+Zwiedineck-Südenhorst;;1845;1906
persName;Antonio Mazzoni;;;;Mazzoni, Antonio;http://lobid.org/gnd/search?q=Antonio+Mazzoni;;;
persName;Amalie Freifrau von Eichel;;;;Eichel, Freifrau Amalie von;http://lobid.org/gnd/search?q=Amalie+Freifrau+von+Eichel;;1800;1874
persName;Cesare Mariani;122881249;;;Mariani, Cesare ;http://lobid.org/gnd/search?q=Cesare+Mariani;;1826;1901
persName;Amélie Freifrau Cotta von Cottendorf;1285505972;;geb. de la Harpe;Cotta von Cottendorf, Amélie Freifrau;http://lobid.org/gnd/search?q=Amélie+Freifrau+Cotta+von+Cottendorf;;1835;1915
persName;Feodora Fürstin zu Hohenlohe-Langenburg ;1015597114;;;Hohenlohe-Langenburg, Feodora Fürstin zu;http://lobid.org/gnd/search?q=Feodora+Fürstin+zu+Hohenlohe-Langenburg+;;1807;1872
persName;Victor Graf von Waldenburg;;;;Waldenburg, Victor Graf von;http://lobid.org/gnd/search?q=Victor+Graf+von+Waldenburg;;1842;1885
persName;Ernst Wichert (?);11733555X;;;Wichert, Ernst (?);;;1831;1902
persName;Guglielmo De Sanctis;1020475439;;;De Sanctis, Guglielmo;;;1829;1911
persName;Erminia De Sanctis;;;;De Sanctis, Erminia;;;1840;1919
persName;Giuseppe Campori;116436875;;;Campori, Giuseppe;;;1821;1887
persName;Carlo Malagola;116692065;;;Malagola, Carlo;;;1855;1910
orgName;Versammlung Deutscher Naturforscher und Ärzte;30220-X;;;Gesellschaft Deutscher Naturforscher und Ärzte;;;;
persName;Conte Alessandro Zeno;;;;Zeno, Alessandro, Conte;;;;
persName;Karl von Zittel;118808508;;;Zittel, Karl von;;;1839;1904
orgName;Deutsches Archäologisches Institut in Rom;;;;Deutsches Archäologisches Institut in Rom;;;;
orgName;Bürger der Stadt Genua;;;;Bürger der Stadt Genua;;;;
persName;Unbekannt (1);;;;Unbekannt (1);;;;
persName;Unbekannt (2);;;;Unbekannt (2);;;;
persName;Unbekannt (3);;;;Unbekannt (3);;;;
persName;Unbekannt (4);;;;Unbekannt (4);;;;
persName;Unbekannt (5);;;;Unbekannt (5);;;;
persName;Unbekannt (Fräulein);;;;Unbekannt (Fräulein);;;;
persName;Unbekannt (Fräulein, Malerin);;;;Unbekannt (Fräulein, Malerin);;;;
persName;Unbekannt (Fräulein, Übersetzerin);;;;Unbekannt (Fräulein, Übersetzerin);;;;
persName;Unbekannt (Frau aus Neidenburg);;;;Unbekannt (Frau aus Neidenburg);;;;
persName;Unbekannt (Frau Doctor: Elisabeth Seeburg?);;;;Unbekannt (Frau Doctor: Elisabeth Seeburg?);;;;
persName;Unbekannt (Frau 1);;;;Unbekannt (Frau 1);;;;
persName;Unbekannt (Frau 2);;;;Unbekannt (Frau 2);;;;
persName;Unbekannt (Frau 3);;;;Unbekannt (Frau 3);;;;
persName;Unbekannt (Dame);;;;Unbekannt (Dame);;;;
persName;Unbekannt (Contessa);;;;Unbekannt (Contessa);;;;
persName;Unbekannt (Baronin);;;;Unbekannt (Baronin);;;;
persName;Unbekannt (Herr);;;;Unbekannt (Herr);;;;
persName;Unbekannt (Herr, wohnhaft in Neapel);;;;Unbekannt (Herr, wohnhaft in Neapel);;;;
persName;Unbekannt (Freund);;;;Unbekannt (Freund);;;;
persName;Unbekannt (Schriftsteller);;;;Unbekannt (Schriftsteller);;;;
persName;Unbekannt (Bankier?);;;;Unbekannt (Bankier?);;;;
persName;Unbekannt (Reichsrat);;;;Unbekannt (Reichsrat);;;;
persName;Unbekannt (Adolf Friedrich Graf von Schack?);;;;Unbekannt (Adolf Friedrich Graf von Schack?);;;;
persName;Unbekannt (Freund, Rombesucher);;;;Unbekannt (Freund, Rombesucher);;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
